[discovering] Detecting source scenes
[building_context] Building story candidates 2894.41-2915.68
[building_context] Building story candidates 2915.68-2938.54
[building_context] Building story candidates 2938.54-2964.86
[building_context] Building story candidates 2964.86-2985.21
[building_context] Building story candidates 2985.21-3006.86
[building_context] Building story candidates 3006.86-3030.80
[building_context] Building story candidates 3030.80-3051.70
[building_context] Building story candidates 3051.70-3077.18
[building_context] Building story candidates 3077.18-3097.24
[building_context] Building story candidates 3097.24-3124.81
[building_context] Building story candidates 3124.81-3145.16
[building_context] Building story candidates 3145.16-3169.56
[building_context] Building story candidates 3169.56-3193.59
[building_context] Building story candidates 3193.59-3214.86
[building_context] Building story candidates 3214.86-3237.25
[building_context] Building story candidates 3237.25-3262.03
[building_context] Building story candidates 3262.03-3288.72
[building_context] Building story candidates 3288.72-3314.79
[building_context] Building story candidates 3314.79-3335.93
[building_context] Building story candidates 3335.93-3357.54
[building_context] Building story candidates 3357.54-3377.85
[building_context] Building story candidates 3377.85-3399.75
[building_context] Building story candidates 3399.75-3424.65
[building_context] Building story candidates 3424.65-3446.84
[building_context] Building story candidates 3446.84-3476.37
[building_context] Building story candidates 3476.37-3499.18
[building_context] Building story candidates 3499.18-3523.37
[building_context] Building story candidates 3523.37-3543.81
[building_context] Building story candidates 3543.81-3573.25
[building_context] Building story candidates 3573.25-3598.65
[building_context] Building story candidates 3598.65-3625.68
[building_context] Building story candidates 3625.68-3647.79
[building_context] Building story candidates 3647.79-3668.56
[building_context] Building story candidates 3668.56-3691.83
[building_context] Building story candidates 3691.83-3711.97
[building_context] Building story candidates 3711.97-3740.59
[building_context] Building story candidates 3740.59-3764.24
[building_context] Building story candidates 3764.24-3787.76
[building_context] Building story candidates 3787.76-3809.24
[building_context] Building story candidates 3809.24-3829.72
[building_context] Building story candidates 3829.72-3850.90
[building_context] Building story candidates 3850.90-3875.01
[building_context] Building story candidates 3875.01-3896.28
[building_context] Building story candidates 3896.28-3917.80
[building_context] Building story candidates 3917.80-3939.03
[building_context] Building story candidates 3939.03-3960.14
[building_context] Building story candidates 3960.14-3981.41
[building_context] Building story candidates 3981.41-4006.39
[building_context] Building story candidates 4006.39-4026.58
[building_context] Building story candidates 4026.58-4047.27
[building_context] Building story candidates 4047.27-4068.45
[building_context] Building story candidates 4068.45-4088.89
[building_context] Building story candidates 4088.89-4115.12
[building_context] Building story candidates 4133.10-4172.47
[building_context] Building story candidates 4172.47-4200.71
[building_context] Building story candidates 4200.71-4224.61
[building_context] Building story candidates 4224.61-4250.13
[building_context] Building story candidates 4250.13-4271.70
[building_context] Building story candidates 4271.70-4295.55
[building_context] Building story candidates 4295.55-4316.82
[building_context] Building story candidates 4316.82-4336.85
[building_context] Building story candidates 4355.15-4380.18
[building_context] Building story candidates 4380.18-4400.99
[building_context] Building story candidates 4400.99-4427.35
[building_context] Building story candidates 4427.35-4452.59
[building_context] Building story candidates 4452.59-4476.98
[building_context] Building story candidates 4476.98-4504.97
[building_context] Building story candidates 4504.97-4526.87
[building_context] Building story candidates 4526.87-4553.14
[building_context] Building story candidates 4553.14-4574.12
[building_context] Building story candidates 4574.12-4597.73
[building_context] Building story candidates 4597.73-4618.04
[building_context] Building story candidates 4618.04-4644.02
[building_context] Building story candidates 4644.02-4666.26
[building_context] Building story candidates 4666.26-4692.74
[building_context] Building story candidates 4692.74-4717.68
[building_context] Building story candidates 4717.68-4738.12
[building_context] Building story candidates 4738.12-4759.10
[building_context] Building story candidates 4759.10-4779.99
[building_context] Building story candidates 4779.99-4803.56
[building_context] Building story candidates 4803.56-4823.83
[building_context] Building story candidates 4823.83-4851.23
[building_context] Building story candidates 4851.23-4871.42
[building_context] Building story candidates 4871.42-4892.52
[building_context] Building story candidates 4892.52-4912.92
[building_context] Building story candidates 4948.12-4968.89
[building_context] Building story candidates 4968.89-4991.20
[building_context] Building story candidates 4991.20-5017.10
[building_context] Building story candidates 5017.10-5043.84
[building_context] Building story candidates 5043.84-5065.32
[building_context] Building story candidates 5084.30-5111.20
[building_context] Building story candidates 5111.20-5136.05
